Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
TOYOTA Yaris 1.0 Active,Gasolina,2019,107.157 km,69 cv,Madrid,10.890 €
MERCEDES-BENZ Clase A 180CDI Aut.,Diésel,2022,11.746 km,109 cv,Madrid,32.490 €
MERCEDES-BENZ Clase A 200 d,Diésel,2021,16.538 km,150 cv,Madrid,34.990 €
BMW Serie 3 318dA Gran Turismo,Diésel,2014,245.090 km,143 cv,Málaga,13.900 €
AUDI Q2 30 TDI Advanced S tronic 85kW,Diésel,2023,2.000 km,116 cv,Castellón,34.900 €
JAGUAR F-Type Coupé 2.0 I4 R-Dynamic Aut. 300,Gasolina,2021,14.435 km,300 cv,Barcelona,67.900 €
SEAT León 1.4 TSI ACT S&S FR 150,Gasolina,2017,91.000 km,150 cv,Tarragona,16.999 €
MERCEDES-BENZ EQS 450 4MATIC,Eléctrico,2023,8.888 km,360 cv,Madrid,149.990 €
FORD EcoSport 1.5 EcoBlue Trend 100,Diésel,2018,33.619 km,100 cv,Barcelona,15.900 €
TOYOTA C-HR 125H Advance,Híbrido,2022,25.690 km,122 cv,Sevilla,26.990 €
TOYOTA Corolla Sedán 125H Business Plus,Híbrido,2021,49.808 km,122 cv,Cádiz,23.990 €
TOYOTA Corolla Touring Sports 125H Active Tech,Híbrido,2022,29.083 km,122 cv,Sevilla,24.990 €
VOLVO XC60 2.0 B4 D MOMENTUM PRO AUTO 197 5P,Híbrido,2021,38.603 km,197 cv,Ciudad Real,44.300 €
VOLVO XC60 D4 Momentum AWD Aut.,Diésel,2018,128.980 km,190 cv,Madrid,35.900 €
CITROEN C3 Aircross BlueHDi S&S Shine EAT6 120,Diésel,2020,23.890 km,120 cv,Madrid,22.800 €
VOLVO XC40 T3 Business Plus,Gasolina,2019,94.852 km,163 cv,Madrid,28.900 €
VOLVO XC40 T2 Momentum Core,Gasolina,2021,25.317 km,129 cv,Madrid,29.900 €
VOLVO XC60 D4 Momentum AWD Aut. 190,Diésel,2017,82.835 km,190 cv,Madrid,35.900 €
LYNK & CO 01 HIBRIDO ENCHUFABLE AUT,Híbrido,2022,15.178 km,261 cv,Málaga,35.000 €
VOLVO XC40 2.0 D4 MOMENTUM AUTO 4WD 190 5P,Diésel,2018,82.568 km,190 cv,Málaga,35.900 €
BMW Serie 4 418d Gran Coupé,Diésel,2019,68.220 km,150 cv,Málaga,27.890 €
VOLVO XC90 2.0 T8 MOMENTUM 4WD AUTO 390 5P 7 PLAZAS,Híbrido,2018,86.567 km,390 cv,Ciudad Real,49.900 €
VOLVO XC60 2.0 B4 D MOMENTUM PRO AUTO 197 5P,Híbrido,2022,12.488 km,197 cv,Córdoba,47.500 €
VOLVO XC40 D3 Momentum,Diésel,2018,98.570 km,150 cv,Guadalajara,28.500 €
VOLVO V60 T6 Twin Recharge R-Design AWD,Híbrido Enchufable,2022,21.334 km,340 cv,Guadalajara,50.900 €
MERCEDES-BENZ Clase GLE 300 d 4Matic AMG Line (EURO 6d-TEMP),Diésel,2020,98.000 km,245 cv,Navarra,69.000 €
VOLVO XC60 2.0 B4 D MOMENTUM PRO AUTO 197 5P,Híbrido,2022,12.488 km,197 cv,Córdoba,47.500 €
BMW X6 xDrive M50dA,Diésel,2018,145.000 km,381 cv,Badajoz,52.900 €
BMW X5 xDrive 30dA Exclusive Edition,Diésel,2013,237.000 km,245 cv,Cuenca,18.900 €
MERCEDES-BENZ Clase E Coupé 220d 9G-Tronic,Diésel,2019,93.000 km,194 cv,Guadalajara,37.500 €
AUDI A3 RS3 Sportback quattro S tronic 294kW,Gasolina,2019,60.000 km,400 cv,Valencia,46.990 €
OPEL Corsa 1.5D DT S/S Edition 100,Diésel,2020,110.402 km,102 cv,Badajoz,12.499 €
BMW X1 xDrive 18dA,Diésel,2018,92.600 km,150 cv,Orense,29.499 €
MINI Countryman Cooper Aut.,Gasolina,2011,111.000 km,122 cv,La Coruña,13.990 €
TOYOTA C-HR 125H Dynamic Plus,Híbrido,2018,148.000 km,122 cv,Toledo,17.500 €
MERCEDES-BENZ Clase A 180 7G-DCT,Gasolina,2018,69.932 km,136 cv,Barcelona,23.750 €
AUDI A3 Sportback 1.6TDI S tronic 85kW,Diésel,2018,110.000 km,116 cv,Sevilla,19.800 €
SSANGYONG Tivoli G12 Urban Plus 4x2,Gasolina,2023,2 km,128 cv,Orense,21.000 €
AUDI A3 Sportback 1.2 TFSI S line edition S-T 110,Gasolina,2014,231.500 km,110 cv,Madrid,11.500 €
VOLKSWAGEN Polo 1.2 Advance,Gasolina,2009,147.726 km,70 cv,Alicante,6.999 €
RENAULT Mégane Energy TCe 97kW (130CV) Tech Road,Gasolina,2018,86.674 km,130 cv,Málaga,15.590 €
VOLVO XC90 2.0 D5 INSCRIPTION 4WD AUTO 235 5P 7 PLAZAS,Diésel,2017,158.528 km,235 cv,Barcelona,40.900 €
VOLKSWAGEN Polo 1.0 TSI Advance DSG 70kW,Gasolina,2019,74.058 km,95 cv,Sevilla,14.900 €
CITROEN C5 Aircross BlueHDi S&S Shine 130,Diésel,2021,33.606 km,130 cv,Girona,27.400 €
PEUGEOT 3008 300 e-EAT8 GT,Híbrido,2023,5 km,300 cv,Álava,46.900 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ADVANCE AUTO 122 5P,Híbrido,2019,74.845 km,122 cv,Murcia,21.800 €
KIA XCeed 1.6 GDI PHEV EMOTION 5P,Eléctrico,2021,10.454 km,141 cv,Valencia,32.000 €
RENAULT Clio TCe Energy GLP Limited 66kW,Gas,2018,126.500 km,90 cv,Madrid,11.000 €
ROLLS-ROYCE Dawn 6.6 V12,Gasolina,2016,19.568 km,572 cv,Málaga,398.000 €
KIA Ceed Proceed 1.6CRDI GT Line DCT,Diésel,2018,55.874 km,136 cv,Valencia,19.900 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ADVANCE AUTO 122 5P,Híbrido,2022,12.000 km,122 cv,Murcia,24.350 €
CUPRA Ateca 2.0 TSI 300 DSG 4Drive,Gasolina,2021,17.132 km,300 cv,Córdoba,40.900 €
CUPRA Formentor 2.0 TSI 310 VZ DSG 4Drive,Gasolina,2023,1.823 km,310 cv,Tarragona,49.900 €
HYUNDAI Tucson TODOTERRENO 1.6 CRDI MHEV 100KW MAXX 136 5P,Diésel,2022,12.200 km,136 cv,Murcia,31.800 €
SEAT Arona 1.0 TSI 81KW STYLE GO2 DSG 5P,Gasolina,2021,27.175 km,110 cv,Alicante,22.450 €
JEEP Grand Cherokee 3.0CRD Overland Aut.,Diésel,2015,162.363 km,250 cv,Las Palmas,32.500 €
AUDI Q2 TODOTERRENO 2.0 30 TDI S TRONIC BLACK LINE 116 5P.,Diésel,2021,31.600 km,116 cv,Murcia,33.500 €
VOLKSWAGEN ID.3 Tour Automático 1 vel. 150 kW (204 CV),Eléctrico,2021,20.000 km,204 cv,Alicante,45.500 €
LAND-ROVER Range Rover Velar 2.0D R-Dynamic S 4WD Aut. 180,Diésel,2020,89.234 km,180 cv,Sevilla,48.900 €
MERCEDES-BENZ Clase A 180 d,Diésel,2021,76.580 km,116 cv,Lugo,32.300 €
