Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
SEAT Arona 1.6 TDI 70kW (95CV) Style Ecomotive,Diésel,2018,112.509 km,95 cv,Madrid,13.490 €
TOYOTA C-HR 1.8 125H ACTIVE 5,Híbrido,2019,114.832 km,140 cv,Madrid,17.990 €
VOLKSWAGEN Passat Variant 2.0TDI R-Line Exclusive,Diésel,2019,141.315 km,150 cv,Madrid,15.990 €
NISSAN Qashqai DIG-T 103 kW (140 CV) E6D TEKNA,Gasolina,2019,74.563 km,140 cv,Madrid,20.990 €
FORD Focus 1.0 Ecoboost MHEV 92kW ST-Line,Híbrido,2021,45.921 km,125 cv,Madrid,21.490 €
RENAULT Captur TCe Energy Zen 66kW,Gasolina,2018,42.832 km,90 cv,Madrid,15.950 €
SEAT Ibiza 1.0 TSI 81kW (110CV) FR XS,Gasolina,2022,4.690 km,110 cv,Barcelona,18.900 €
SEAT Ateca 1.5 EcoTSI S&S Style XM DSG,Gasolina,2023,5.000 km,150 cv,Barcelona,30.100 €
SEAT Ibiza 1.0 TSI S&S FR 110,Gasolina,2021,9.000 km,110 cv,Zaragoza,17.900 €
BMW Serie 2 Active Tourer 218I AT,Gasolina,2022,14.592 km,136 cv,Murcia,37.900 €
KIA Stonic 1.0 T-GDI MHEV IMT 74KW DRIVE 100 5P,Gasolina,2022,14.801 km,100 cv,Madrid,21.000 €
AUDI Q2 1.4 TFSI COD Sport edition S tronic 110kW,Gasolina,2019,29.126 km,150 cv,Málaga,27.990 €
PORSCHE Taycan Turbo S,Eléctrico,2020,26.500 km,761 cv,Barcelona,137.900 €
LAND-ROVER Discovery 2.7TDV6 S,Diésel,2007,234.000 km,190 cv,La Rioja,12.500 €
MERCEDES-BENZ Clase A 200 d,Diésel,2022,11.962 km,150 cv,Madrid,36.490 €
MERCEDES-BENZ Clase GLA 250 e,Híbrido,2023,2.207 km,218 cv,Madrid,52.990 €
MERCEDES-BENZ Clase B 200d,Diésel,2020,38.971 km,150 cv,Madrid,28.990 €
MINI Countryman Cooper S ALL4,Gasolina,2018,41.854 km,192 cv,Valencia,33.449 €
TOYOTA Corolla 125H Active Tech,Híbrido,2019,85.200 km,122 cv,Madrid,18.890 €
VOLKSWAGEN Golf 1.4 TSI Advance 92kW,Gasolina,2018,70.590 km,125 cv,Málaga,18.500 €
MERCEDES-BENZ Clase A A-CLASS 180 D.,Diésel,2021,23.902 km,116 cv,Murcia,31.900 €
MERCEDES-BENZ Clase E E-CLASS 220 D CABRIO,Diésel,2021,29.000 km,194 cv,Murcia,58.900 €
TOYOTA C-HR 125H Advance,Híbrido,2022,37.975 km,122 cv,Huelva,26.490 €
VOLKSWAGEN Taigo 1.0 TSI R-Line DSG 81kW,Gasolina,2022,9.800 km,110 cv,Castellón,28.500 €
MERCEDES-BENZ Clase C 200,Gasolina,2022,26.279 km,204 cv,Madrid,46.990 €
SEAT Arona 1.0 TSI S&S FR 110,Gasolina,2021,15.000 km,110 cv,Zaragoza,19.900 €
CITROEN C4 Picasso 1.2 PureTech S&S EAT6 Feel 130,Gasolina,2016,89.439 km,130 cv,Madrid,17.350 €
RENAULT Clio 1.5dCi eco2 S&S Energy Dynamique 90,Diésel,2013,111.142 km,90 cv,Madrid,8.950 €
JEEP Compass 1.3 Gse T4 Sport 4x2 130,Gasolina,2021,28.816 km,130 cv,Tarragona,21.990 €
LAND-ROVER Range Rover Velar 2.0D R-Dynamic S 4WD Aut. 180,Diésel,2017,110.100 km,180 cv,Vizcaya,40.900 €
LOTUS Evora 3.5 V6 2+2,Gasolina,2010,80.000 km,280 cv,Madrid,46.990 €
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,Gasolina,2020,39.000 km,140 cv,Las Palmas,19.995 €
SEAT Ibiza 1.2 Tsi Reference 85,Gasolina,2016,86.500 km,85 cv,Islas Baleares,8.995 €
FIAT 500 1.2 S,Gasolina,2018,80.651 km,69 cv,Málaga,9.900 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2023,1 km,100 cv,Tarragona,23.790 €
AUDI Q2 1.6TDI Design edition 85kW,Diésel,2017,72.688 km,116 cv,Barcelona,21.897 €
CITROEN C4 Picasso 1.2 PureTech S&S EAT6 Feel 130,Gasolina,2016,89.439 km,130 cv,Madrid,17.350 €
RENAULT Clio 1.5dCi eco2 S&S Energy Dynamique 90,Diésel,2013,111.142 km,90 cv,Madrid,8.950 €
AUDI A3 Sportback 35 TFSI S line,Gasolina,2023,12.000 km,150 cv,Salamanca,33.990 €
AUDI A1 Sportback 1.4 TFSI Adrenalin S-T 92kW,Gasolina,2018,29.795 km,125 cv,Salamanca,19.490 €
VOLKSWAGEN Golf 1.4 TSI Advance 92kW,Gasolina,2018,70.590 km,125 cv,Málaga,18.500 €
CUPRA Formentor 1.5 TSI 150 DSG,Gasolina,2022,25.398 km,150 cv,Barcelona,29.900 €
HYUNDAI Kona 1.0 TGDI Klass 4x2,Gasolina,2018,143.268 km,120 cv,Madrid,13.990 €
MERCEDES-BENZ Clase CLA 180 AMG Line 7G-DCT,Gasolina,2019,54.203 km,122 cv,Castellón,32.900 €
VOLVO XC60 T5 R-Design Aut. 250,Gasolina,2020,55.000 km,250 cv,Valencia,36.899 €
TOYOTA C-HR 125H Advance,Híbrido,2020,96.246 km,122 cv,Madrid,20.190 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT,Híbrido,2019,84.331 km,122 cv,Madrid,18.990 €
TOYOTA Proace City Verso Family L1 1.5D 5pl. Active,Diésel,2020,124.953 km,130 cv,Madrid,22.490 €
AUDI Q2 1.6TDI Design edition 85kW,Diésel,2017,72.688 km,116 cv,Barcelona,21.897 €
HYUNDAI Kona 1.0 TGDI Klass 4x2,Gasolina,2018,143.268 km,120 cv,Madrid,13.990 €
CITROEN C3 Aircross Puretech S&S Shine 110,Gasolina,2021,34.551 km,110 cv,La Coruña,21.990 €
PEUGEOT 508 SW 2.0BlueHDI GT Line 150,Diésel,2018,102.000 km,150 cv,Madrid,15.990 €
MERCEDES-BENZ Clase CLA 180 AMG Line 7G-DCT,Gasolina,2019,54.203 km,122 cv,Castellón,32.900 €
PEUGEOT 2008 1.2 PureTech S&S Allure 100,Gasolina,2023,1 km,100 cv,Tarragona,23.790 €
NISSAN Micra 1.5dCi S&S Visia+ 90,Diésel,2018,115.020 km,90 cv,Valencia,10.495 €
BENTLEY Continental GT GTC Speed,Gasolina,2007,59.000 km,610 cv,Madrid,47.500 €
VOLVO V40 D2 Kinetic 120,Diésel,2018,142.514 km,120 cv,Madrid,12.790 €
MERCEDES-BENZ Clase C 220d 9G-Tronic (4.75),Diésel,2018,92.461 km,170 cv,Jaén,28.900 €
CITROEN C5 Aircross 1.6 PHEV 225 EAT8 SHINE PACK TECHO PORTON ELECT CARGADO,Eléctrico,2023,7.300 km,225 cv,Madrid,37.899 €
CITROEN C4 1.2 PURETECH 130 EAT8 SHINE GPS LL18 RADAR AV AR+CAM KE,Gasolina,2021,41.992 km,130 cv,Madrid,21.900 €
FERRARI SF90 Stradale,Híbrido Enchufable,2021,5.646 km,1000 cv,Málaga,459.999 €
OPEL Insignia 1.5D BUSINESS AUTO 122CV 5P,Diésel,2022,48.602 km,122 cv,Granada,24.990 €
NISSAN Ariya 63 kWh 4x2 Evolve Pack Sport,Eléctrico,2023,10 km,218 cv,Orense,52.760 €
NISSAN Micra IG-T Acenta 100,Gasolina,2023,10 km,100 cv,Pontevedra,18.900 €
MERCEDES-BENZ Clase C 200 Berlina,Gasolina,2022,15.316 km,204 cv,Córdoba,45.400 €
SEAT León ST 2.0TDI CR S&S Xcellence DSG 150,Diésel,2016,99.000 km,150 cv,Valencia,18.900 €
BMW X3 xDrive 20dA xLine,Diésel,2023,6.000 km,190 cv,Burgos,65.900 €
MERCEDES-BENZ Clase A 180,Gasolina,2019,27.455 km,136 cv,Barcelona,27.900 €
SUBARU XV 2.0i Hybrid Executive Plus CVT,Híbrido,2022,8.500 km,150 cv,Huesca,31.900 €
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,Gasolina,2019,86.850 km,140 cv,Tarragona,22.300 €
VOLKSWAGEN Golf 2.0TDI Style DSG 110kW,Diésel,2020,80.250 km,150 cv,Toledo,22.900 €
MERCEDES-BENZ Clase A 200d Sedán 8G-DCT,Diésel,2022,9.051 km,150 cv,Madrid,38.490 €
SEAT Arona 1.0 TSI 81kW (110CV) DSG Xcellence Eco,Gasolina,2021,38.412 km,110 cv,Barcelona,21.900 €
MERCEDES-BENZ Clase B B-CLASS MONOVOLUMEN COMPACTO 1.5 180 D 116 5P.,Diésel,2020,82.640 km,116 cv,Granada,28.500 €
TOYOTA Yaris 1.5 120H BUSSINES PLUS,Híbrido,2021,18.100 km,116 cv,Valencia,21.000 €
SEAT Ateca 1.5 EcoTSI S&S Xcellence,Gasolina,2019,51.407 km,150 cv,Barcelona,20.500 €
MERCEDES-BENZ Clase B B-CLASS MONOVOLUMEN COMPACTO 1.5 180 D 116 5P.,Diésel,2020,82.640 km,116 cv,Granada,28.500 €
BMW X1 sDrive 18d,Diésel,2019,77.123 km,150 cv,Madrid,30.995 €
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,Gasolina,2019,86.850 km,140 cv,Tarragona,22.300 €
SUBARU XV 2.0i Hybrid Executive Plus CVT,Híbrido,2022,8.500 km,150 cv,Huesca,31.900 €
VOLKSWAGEN Tiguan 2.0TDI Sport 4Motion DSG 110kW,Diésel,2018,92.150 km,150 cv,La Coruña,26.850 €
VOLVO XC40 P8 Recharge Plus Eléctrico Puro,Eléctrico,2023,1 km,231 cv,Madrid,46.900 €
CUPRA Formentor 1.5 TSI 150 DSG,Gasolina,2022,8.900 km,150 cv,Granada,34.900 €
BMW Serie 1 118d,Diésel,2008,160.000 km,143 cv,Tarragona,8.990 €
SEAT Ateca 1.5 EcoTSI S&S Xcellence,Gasolina,2019,51.407 km,150 cv,Barcelona,20.500 €
TOYOTA Yaris 1.5 120H BUSSINES PLUS,Híbrido,2021,18.100 km,116 cv,Valencia,21.000 €
FORD Focus 1.0 Ecoboost Auto-S&S Titanium 125,Gasolina,2013,82.220 km,125 cv,Barcelona,9.900 €
MERCEDES-BENZ Clase A 180 d AMG Line,Diésel,2019,55.182 km,116 cv,Islas Baleares,25.900 €
OPEL Corsa 1.2T XHL S/S Edition 100,Gasolina,2023,1 km,100 cv,Badajoz,18.300 €
MERCEDES-BENZ Clase C 220 d,Diésel,2018,82.427 km,194 cv,Madrid,30.990 €
MERCEDES-BENZ Clase B 200d,Diésel,2019,85.544 km,150 cv,Madrid,26.990 €
MERCEDES-BENZ Clase A A-CLASS BERLINA CON PORTON 1.3 200 163 5P,Gasolina,2023,3.100 km,163 cv,Murcia,44.500 €
VOLKSWAGEN T-Cross 1.0 TSI First Edition 85kW,Gasolina,2019,65.000 km,115 cv,Barcelona,19.900 €
PEUGEOT 3008 1.5 BlueHDi 96kW (130CV) S&S Allure,Diésel,2020,32.300 km,130 cv,Madrid,24.500 €
FORD Puma 1.0 EcoBoost MHEV ST-Line X 125,Gasolina,2023,1.000 km,125 cv,Valencia,27.900 €
TOYOTA RAV-4 Rav4 2.5l 220H Advance,Híbrido,2020,117.919 km,218 cv,Madrid,29.990 €
RENAULT Scénic Grand  III 1.5 DCI 130 CV ENERGY BOSE EDITION 7 PLAZAS,Diésel,2016,177.000 km,130 cv,La Coruña,13.900 €
PEUGEOT 308 1.5BlueHDi S&S GT 130,Diésel,2021,46.056 km,130 cv,Islas Baleares,22.400 €
NISSAN Micra 1.2 Visia,Gasolina,2011,76.000 km,80 cv,Asturias,8.490 €
SKODA Kodiaq 2.0 TSI Style 4x4 DSG 140kW,Gasolina,2019,102.386 km,190 cv,Guipúzcoa,30.500 €
MASERATI Ghibli Diesel GranSport Aut. 275,Diésel,2018,91.000 km,275 cv,Valencia,47.900 €
KIA Sportage 1.6 GDi Concept 4x2 132,Gasolina,2019,72.617 km,132 cv,Granada,19.990 €
MERCEDES-BENZ Clase B 200d,Diésel,2020,36.055 km,150 cv,Madrid,29.990 €
PEUGEOT 508 SW ALLURE 2.0 HDI 150CV MT6 E6,Diésel,2017,114.000 km,150 cv,Madrid,13.990 €
CITROEN C3 1.2 PureTech S&S Shine 110,Gasolina,2021,29.057 km,110 cv,Alicante,15.600 €
ABARTH 595 1.4 T-JET 165CV,Gasolina,2022,10.003 km,165 cv,Islas Baleares,27.100 €
VOLKSWAGEN Touareg 3.0TDI V6 Pure Tiptronic 4Motion 170kW,Diésel,2019,80.000 km,231 cv,Vizcaya,45.900 €
DACIA Sandero 0.9 TCE Stepway Ambiance 66kW,Gasolina,2022,23.631 km,90 cv,Islas Baleares,17.200 €
VOLKSWAGEN Passat Variant 2.0TDI Advance DSG7 110kW,Diésel,2019,123.898 km,150 cv,Madrid,18.490 €
LAND-ROVER Range Rover Evoque 2.0TD4 SE 4WD Aut. 150,Diésel,2017,105.454 km,150 cv,Albacete,25.990 €
MERCEDES-BENZ Clase GLE 350 e 4MATIC (Híbrido Enchufable),Híbrido,2022,4.574 km,333 cv,Madrid,89.490 €
SEAT Ateca 2.0TSI S&S Xcellence 4Drive DSG7,Gasolina,2018,46.300 km,190 cv,Cádiz,26.490 €
MERCEDES-BENZ Clase SLK 200,Gasolina,1999,153.000 km,136 cv,Madrid,5.999 €
RENAULT Mégane 1.5dCi Business 110,Diésel,2016,88.000 km,110 cv,Tarragona,13.950 €
TOYOTA Corolla 1.8 HYBRID ACTIVE TECH E-CVT 5P,Gasolina,2019,32.287 km,122 cv,Madrid,20.900 €
KIA Ceed 1.0 T-GDI Launch EdItion,Gasolina,2018,13.745 km,120 cv,Madrid,19.399 €
KIA Stonic 1.0 T-GDI MHEV IMT 74KW DRIVE 100 5P,Gasolina,2022,20.780 km,100 cv,Madrid,20.200 €
AUDI Q3 2.0 35 TDI S TRONIC ADVANCED 150CV 5P,Diésel,2019,62.468 km,150 cv,Málaga,30.990 €
PEUGEOT 308 1.6 BlueHDi Style 100,Diésel,2016,97.350 km,100 cv,Valencia,10.900 €
VOLKSWAGEN T-Cross 1.0 TSI Advance 81kW,Gasolina,2022,20.600 km,110 cv,Castellón,23.100 €
LEXUS UX 250h Business City 2WD,Híbrido,2022,9.100 km,184 cv,Madrid,32.990 €
SSANGYONG Musso Sports D22DTR Pro 4x4 149 kW (202 CV),Diésel,2023,3.400 km,202 cv,Córdoba,36.900 €
MERCEDES-BENZ Clase C 200 d Berlina,Diésel,2023,8.630 km,163 cv,Madrid,53.605 €
KIA Picanto 1.0 DPI Concept,Gasolina,2022,16.014 km,67 cv,Cuenca,13.990 €
NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,Gasolina,2019,51.124 km,140 cv,Sevilla,19.990 €
MERCEDES-BENZ Clase C 220 d,Diésel,2022,26.832 km,200 cv,Madrid,47.990 €
PEUGEOT 2008 1.6 BlueHDI Style 100,Diésel,2016,105.539 km,100 cv,La Coruña,12.500 €
VOLKSWAGEN Taigo 1.0 TSI Life DSG 81kW,Gasolina,2022,37.708 km,110 cv,Barcelona,25.300 €
BMW Serie 3 320dA,Diésel,2020,83.415 km,190 cv,Málaga,28.500 €
MERCEDES-BENZ Clase GL G-CLASS G 500,Gasolina,2018,74.605 km,422 cv,Murcia,144.900 €
NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,Diésel,2019,39.850 km,115 cv,Málaga,19.999 €
MERCEDES-BENZ Clase B 200,Gasolina,2019,17.582 km,163 cv,Madrid,27.990 €
MERCEDES-BENZ EQA 250 +,Eléctrico,2023,8.888 km,190 cv,Madrid,49.990 €
VOLVO XC40 D3 Momentum,Diésel,2019,128.069 km,150 cv,Madrid,23.900 €
PORSCHE Taycan Turbo,Eléctrico,2020,25.000 km,680 cv,Barcelona,126.900 €
SSANGYONG Tivoli Grand G15 Urban Plus 4x2,Gasolina,2021,23.000 km,163 cv,Huesca,20.900 €
RENAULT Mégane E-Tech Iconic Optimum Charge EV60 160kW,Eléctrico,2022,11.000 km,219 cv,Tarragona,37.000 €
MERCEDES-BENZ Clase GLA 250 e,Híbrido,2021,16.980 km,218 cv,Jaén,43.990 €
VOLKSWAGEN Passat Variant 1.6TDI Bluemotion 88kW,Diésel,2016,87.823 km,120 cv,Madrid,15.850 €
MERCEDES-BENZ Clase E 220d 9G-Tronic 194,Diésel,2018,67.196 km,194 cv,Madrid,34.950 €
LEXUS UX 250h Business City 2WD,Híbrido,2022,9.100 km,184 cv,Madrid,32.990 €
PEUGEOT 2008 1.6 BlueHDI Style 100,Diésel,2016,105.539 km,100 cv,La Coruña,12.500 €
MERCEDES-BENZ Clase C 200 d Berlina,Diésel,2023,8.630 km,163 cv,Madrid,53.605 €
VOLKSWAGEN Taigo 1.0 TSI Life DSG 81kW,Gasolina,2022,37.708 km,110 cv,Barcelona,25.300 €
KIA Picanto 1.0 DPI Concept,Gasolina,2022,16.014 km,67 cv,Cuenca,13.990 €
NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,Gasolina,2019,51.124 km,140 cv,Sevilla,19.990 €
MERCEDES-BENZ Clase C 220 d,Diésel,2022,26.832 km,200 cv,Madrid,47.990 €
AUDI A3 Sportback 35 TFSI S line S tronic 110kW,Gasolina,2018,100.000 km,150 cv,Granada,24.990 €
SEAT Arona 1.0 TSI S&S Style XM 110,Gasolina,2023,540 km,110 cv,Barcelona,22.900 €
JAGUAR I-Pace HSE,Eléctrico,2022,12.760 km,400 cv,Vizcaya,59.900 €
CITROEN C4 Picasso 2.0BlueHDi Feel Edition EAT6 150,Diésel,2016,171.000 km,150 cv,Madrid,15.490 €
SEAT Arona 1.0 TSI Ecomotive S&S Xcellence DSG7 115,Gasolina,2019,125.000 km,115 cv,Madrid,16.999 €
LAND-ROVER Discovery Sport SD4 4WD  AT SE,Diésel,2018,153.016 km,190 cv,Valencia,20.295 €
PEUGEOT 3008 1.5 BlueHDI 130CV Allure EAT8,Diésel,2022,24.550 km,130 cv,Alicante,28.700 €
MERCEDES-BENZ Clase A 200CDI BE Urban 7G-DCT,Diésel,2015,78.000 km,136 cv,Valencia,19.500 €
AUDI A3 1.4 TFSI Advanced 125,Gasolina,2015,72.735 km,125 cv,Barcelona,16.500 €
AUDI A4 30 TDI Advanced S tronic 100kW,Diésel,2022,23 km,136 cv,Madrid,36.490 €
JEEP Compass 1.3 PHEV 140KW LIMITED 4WD AT 190 5P,Eléctrico,2023,1 km,190 cv,Islas Baleares,40.500 €
AUDI A3 Sportback 35 TFSI S line S tronic 110kW,Gasolina,2018,100.000 km,150 cv,Granada,24.990 €
PEUGEOT 3008 1.5 BlueHDI 130CV Allure EAT8,Diésel,2022,24.550 km,130 cv,Alicante,28.700 €
TOYOTA C-HR 125H Advance,Híbrido,2022,32.438 km,122 cv,Madrid,25.990 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT,Híbrido,2019,76.206 km,122 cv,Madrid,18.190 €
MERCEDES-BENZ Clase A 200CDI BE Urban 7G-DCT,Diésel,2015,78.000 km,136 cv,Valencia,19.500 €
AUDI A3 1.4 TFSI Advanced 125,Gasolina,2015,72.735 km,125 cv,Barcelona,16.500 €
PEUGEOT 3008 SUV 1.2 S&S PureTech GT Line 130 (4.75),Gasolina,2018,60.000 km,130 cv,Burgos,23.450 €
FIAT 500 1.2 Lounge,Gasolina,2019,56.271 km,69 cv,Albacete,12.900 €
SKODA Fabia 1.0 MPI 55KW AMBITION 75 5P,Gasolina,2018,34.425 km,75 cv,Vizcaya,12.900 €
TOYOTA Corolla Sedán 125H Active Tech,Híbrido,2021,45.943 km,122 cv,Cádiz,26.990 €
RENAULT Mégane 1.5dCi Energy Business 81kW,Diésel,2017,104.000 km,110 cv,Pontevedra,13.990 €
MERCEDES-BENZ Clase B 180CDI Autotronic,Diésel,2010,112.990 km,109 cv,Albacete,12.900 €
MERCEDES-BENZ Clase B 200,Gasolina,2021,25.950 km,163 cv,Madrid,28.990 €
OPEL Mokka 1.4T S&S Excellence 4x4,Gasolina,2012,128.000 km,140 cv,Madrid,10.200 €
VOLKSWAGEN Tiguan 2.0 TDI 110KW DSG 4WD ADVANCE 150 5P,Diésel,2020,60.596 km,150 cv,Asturias,34.990 €
BMW Serie 2 Active Tourer 218I AT,Gasolina,2022,14.592 km,136 cv,Barcelona,37.900 €
PEUGEOT Rifter 1.5BlueHDi S&S Standard Active NAV+ 130,Diésel,2019,77.000 km,131 cv,Barcelona,19.990 €
VOLKSWAGEN T-Roc 1.0 TSI Advance 81kW,Gasolina,2021,89.152 km,109 cv,Sevilla,21.990 €
BMW Serie 3 320d,Diésel,2005,215.000 km,163 cv,Valencia,6.990 €
MERCEDES-BENZ Clase B 200d,Diésel,2023,3.139 km,150 cv,Madrid,40.990 €
CITROEN C3 1.2 PureTech S&S Feel Pack 110,Gasolina,2021,33.115 km,110 cv,Islas Baleares,14.590 €
NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,Gasolina,2018,73.000 km,115 cv,Pontevedra,19.900 €
MERCEDES-BENZ Clase S Coupé 500 4M Aut.,Gasolina,2016,134.900 km,455 cv,Zaragoza,59.900 €
HYUNDAI i30 1.0 TGDI Klass LR 48V 120,Gasolina,2022,9.123 km,120 cv,Barcelona,21.500 €
MINI Countryman Cooper S ALL4 184,Gasolina,2010,154.434 km,184 cv,Málaga,12.999 €
HYUNDAI Tucson 1.6 CRDI 48V Maxx 4x2,Diésel,2022,45.000 km,136 cv,Murcia,26.900 €
DODGE Caliber 2.0CRD SE,Diésel,2010,166.761 km,140 cv,Madrid,6.990 €
MERCEDES-BENZ Clase A 180 Sedán 7G-DCT,Gasolina,2022,14.472 km,136 cv,Madrid,33.990 €
AUDI Q2 1.4 TFSI COD Sport edition S tronic 110kW,Gasolina,2018,42.500 km,150 cv,Castellón,27.500 €
LAND-ROVER Range Rover Evoque 2.0D MHEV Standard AWD Aut. 150,Diésel,2020,23.903 km,150 cv,Madrid,42.900 €
BMW Serie 4 418d Gran Coupé,Diésel,2020,41.849 km,150 cv,Valencia,34.890 €
BMW Serie 2 216d Gran Tourer,Diésel,2018,120.000 km,116 cv,Valencia,19.900 €
MINI Countryman Cooper S E ALL4,Híbrido Enchufable,2019,96.000 km,224 cv,Madrid,23.490 €
BMW Serie 6 640dA Gran Coupé xDrive,Diésel,2013,172.000 km,313 cv,Madrid,25.900 €
NISSAN Qashqai 1.2 DIG-T Acenta 4x2,Gasolina,2018,23.000 km,115 cv,Pontevedra,20.900 €
NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,Diésel,2019,41.000 km,115 cv,Orense,23.900 €
JAGUAR F-Pace 3.0 V6 S/C Prestige Aut. AWD 340,Gasolina,2017,46.700 km,340 cv,Ciudad Real,39.900 €
MERCEDES-BENZ Clase CLA -SS  200 D SHOOTING BRAKE,Diésel,2022,21.828 km,150 cv,Murcia,41.900 €
SEAT Alhambra 2.0 TDI S&S Xcellence Travel Edition DSG 110 kW (1,Diésel,2019,146.618 km,150 cv,Córdoba,26.400 €
VOLVO XC60 B4 Inscription AWD Aut.,Diésel,2021,23.364 km,197 cv,Madrid,49.900 €
PEUGEOT Rifter 1.5BlueHDi S&S Standard Active 100,Diésel,2020,125.024 km,100 cv,Burgos,17.900 €
AUDI TT Roadster 2.0 TFSI S-Tronic,Gasolina,2012,99.900 km,211 cv,Madrid,22.990 €
VOLKSWAGEN Golf 2.0TDI Life DSG 85kW,Diésel,2021,61.600 km,115 cv,Badajoz,26.000 €
NISSAN Qashqai 1.7dCI Acenta 4x2,Diésel,2020,66.000 km,150 cv,Sevilla,22.995 €
VOLKSWAGEN Golf 1.5 TSI Evo BM Business Edition 96kW,Gasolina,2020,48.367 km,130 cv,Madrid,19.290 €
VOLKSWAGEN T-Roc 1.0 TSI Advance,Gasolina,2019,37.258 km,115 cv,Madrid,19.990 €
TOYOTA Corolla 1.8 125H ACTIVE TECH E-CVT,Híbrido,2019,115.644 km,122 cv,Madrid,16.990 €
VOLVO XC40 T4 2.0i 190cv Automático,Gasolina,2018,77.450 km,190 cv,Valencia,32.970 €
FORD EcoSport 1.0 EcoBoost Trend 140,Gasolina,2017,39.000 km,140 cv,Álava,15.500 €
CITROEN C5 Aircross 225 e-EAT8 Shine Pack,Híbrido,2023,1 km,225 cv,Zaragoza,38.500 €
VOLKSWAGEN Golf 1.5 TSI Evo BM Business Edition 96kW,Gasolina,2020,48.367 km,130 cv,Madrid,19.290 €
KIA Sportage 1.7CRDi Drive 4x2,Diésel,2014,122.354 km,115 cv,Madrid,13.590 €
VOLKSWAGEN T-Roc 1.0 TSI Advance,Gasolina,2019,37.258 km,115 cv,Madrid,19.990 €
HYUNDAI Tucson 1.6 TGDI 110KW KLASS 150 5P,Gasolina,2022,14.672 km,150 cv,Asturias,25.490 €
RENAULT Clio 1.5dCi Energy Business 55kW,Diésel,2018,191.000 km,75 cv,Alicante,7.990 €
NISSAN Qashqai 1.7dCI Acenta 4x2,Diésel,2020,66.000 km,150 cv,Sevilla,22.995 €
PEUGEOT 308 1.6e-HDI Blue Lion FAP Active 115,Diésel,2014,160.000 km,115 cv,Murcia,8.500 €
JAGUAR XJ XJ8 3.2 Executive,Gasolina,1999,41.316 km,240 cv,Valencia,12.900 €
DACIA Lodgy 1.2 TCE Laureate 5pl. 115,Gasolina,2016,88.242 km,115 cv,Madrid,9.490 €
VOLKSWAGEN Golf Cabrio 1.6 TDI 105cv Bluemotion Tech,Diésel,2013,118.254 km,105 cv,Madrid,11.490 €
VOLKSWAGEN Arteon 2.0TDI Elegance 110kW,Diésel,2019,37.410 km,150 cv,Madrid,25.990 €
FIAT 500 -E  BEV CABRIO ICON 118CV 2P,Eléctrico,2023,1 km,118 cv,Granada,37.500 €
CITROEN C5 Aircross BlueHDi S&S C-Series 130,Diésel,2022,3.000 km,130 cv,Asturias,29.000 €
TOYOTA C-HR 125H Advance,Híbrido,2021,36.457 km,122 cv,Madrid,26.490 €
TOYOTA Aygo 70 x-play,Gasolina,2021,39.141 km,72 cv,Huelva,13.990 €
TOYOTA Yaris 125 S-Edition,Gasolina,2023,3.646 km,125 cv,Cádiz,19.990 €
FIAT 500L 1.3Mjt II S&S Pop Star 95,Diésel,2017,90.805 km,95 cv,Málaga,11.300 €
TOYOTA RAV-4 2.5 hybrid 2WD Advance,Híbrido,2022,14.000 km,218 cv,Zaragoza,39.300 €
CITROEN C3 1.5BlueHDi S&S Feel Pack 100,Diésel,2021,38.000 km,100 cv,Zaragoza,16.500 €
FORD C-Max Grand 1.5TDCi Business 120,Diésel,2017,105.000 km,120 cv,Córdoba,16.480 €
KIA XCeed 1.4 T-GDi Tech 103kW (140CV),Gasolina,2020,0 km,140 cv,Zaragoza,24.500 €
RENAULT Captur TCe 140cv GPF techno Fast Track,Gasolina,2023,5 km,140 cv,Murcia,25.800 €
"FORD Kuga Nuevo  ST-LINE 1.5 EcoBlue 88,3KW (120CV) Euro 6.2",Diésel,2021,10 km,120 cv,Toledo,28.990 €
VOLKSWAGEN Arteon Shooting Brake 2.0TDI R-Line 110kW,Diésel,2020,51.450 km,150 cv,Madrid,35.490 €
SEAT Ibiza 1.0 TSI S&S FR 110,Gasolina,2022,13.473 km,110 cv,Barcelona,18.900 €
MERCEDES-BENZ Clase A 180 d AMG Line,Diésel,2021,72.750 km,116 cv,Valencia,32.300 €
NISSAN Qashqai 1.5dCi N-Style 4x2 85kW,Diésel,2020,29.000 km,115 cv,Pontevedra,23.900 €
MERCEDES-BENZ Clase CLA 180,Gasolina,2019,133.000 km,136 cv,Madrid,29.490 €
JAGUAR XK XKR Coupé 4.0 Aut.,Gasolina,1998,223.000 km,370 cv,Valencia,14.900 €
